ELow	ETop	Mean	Mean_sigma	Std	Std_sigma	Kurtosis	Kurtosis_sigma
50	600	10.2553	0.0271043	0.56	0.00408163	6.91602e-310	6.91602e-310
100	600	10.255	0.029946	0.56	0.00408163	6.91602e-310	6.91602e-310
150	600	10.273	0.0327132	0.55	0.00408163	6.91602e-310	6.91602e-310
200	600	10.2776	0.0384787	0.55	0.00408163	6.91602e-310	6.91602e-310
250	600	10.2608	0.0474151	0.491	0.00408163	6.91602e-310	6.91602e-310
300	600	10.3597	0.063924	0.48	0.00408163	6.91602e-310	6.91602e-310
350	600	10.4365	0.141844	0.52	0.00408163	6.91602e-310	6.91602e-310
50	150	10.027	0.133909	0.76	0.00408163	6.91602e-310	6.91602e-310
100	250	10.1767	0.0490129	0.63	0.00408163	6.91602e-310	6.91602e-310
150	350	10.2552	0.0284932	0.53	0.00408163	6.91602e-310	6.91602e-310
200	450	10.2517	0.0349028	0.52	0.00408163	6.91602e-310	6.91602e-310
250	550	10.2402	0.0422496	0.489	0.00408163	6.91602e-310	6.91602e-310
