Frac	Delay	Mean	Mean_sigma	FWHM	FWHM_sigma	Kurtosis	Kurtosis_sigma
0.1	1	10.6701	0.156862	0.0100001	0.00408163	6.93334e-310	6.93334e-310
0.1	2	9.41529	0.182471	0.49	0.00408163	6.93334e-310	6.93334e-310
0.1	3	10.0757	0.0445559	0.46	0.00408163	6.93334e-310	6.93334e-310
0.1	4	10.1827	0.0338351	0.56	0.00408163	6.93334e-310	6.93334e-310
0.1	5	10.2006	0.0331191	0.58	0.00408163	6.93334e-310	6.93334e-310
0.1	6	10.2211	0.0322251	0.58	0.00408163	6.93334e-310	6.93334e-310
0.1	7	10.2179	0.0322547	0.61	0.00408163	6.93334e-310	6.93334e-310
0.1	8	10.205	0.0322292	0.61	0.00408163	6.93334e-310	6.93334e-310
0.1	9	10.2002	0.0323983	0.6	0.00408163	6.93334e-310	6.93334e-310
0.1	10	10.2028	0.0326659	0.61	0.00408163	6.93334e-310	6.93334e-310
0.2	1	10.7835	0.184116	4.81	0.00408163	6.93334e-310	6.93334e-310
0.2	2	9.33616	0.0647994	0.48	0.00408163	6.93334e-310	6.93334e-310
0.2	3	10.1845	0.0334679	0.58	0.00408163	6.93334e-310	6.93334e-310
0.2	4	10.2565	0.0328039	0.61	0.00408163	6.93334e-310	6.93334e-310
0.2	5	10.2509	0.0327315	0.57	0.00408163	6.93334e-310	6.93334e-310
0.2	6	10.2675	0.032321	0.59	0.00408163	6.93334e-310	6.93334e-310
0.2	7	10.2621	0.0328525	0.57	0.00408163	6.93334e-310	6.93334e-310
0.2	8	10.2387	0.032573	0.61	0.00408163	6.93334e-310	6.93334e-310
0.2	9	10.2309	0.0324749	0.6	0.00408163	6.93334e-310	6.93334e-310
0.2	10	10.2359	0.0326065	0.6	0.00408163	6.93334e-310	6.93334e-310
0.3	1	4.9484	0.213717	100	100	6.93334e-310	6.93334e-310
0.3	2	10.1373	0.0347864	0.6	0.00408163	6.93334e-310	6.93334e-310
0.3	3	10.2514	0.033133	0.6	0.00408163	6.93334e-310	6.93334e-310
0.3	4	10.2946	0.0331003	0.6	0.00408163	6.93334e-310	6.93334e-310
0.3	5	10.2754	0.0332982	0.59	0.00408163	6.93334e-310	6.93334e-310
0.3	6	10.2869	0.032428	0.59	0.00408163	6.93334e-310	6.93334e-310
0.3	7	10.2835	0.032469	0.61	0.00408163	6.93334e-310	6.93334e-310
0.3	8	10.2596	0.0325948	0.64	0.00408163	6.93334e-310	6.93334e-310
0.3	9	10.2592	0.0321418	0.64	0.00408163	6.93334e-310	6.93334e-310
0.3	10	10.2631	0.0322638	0.62	0.00408163	6.93334e-310	6.93334e-310
0.4	1	5.25597	0.138848	0.44	0.00408163	6.93334e-310	6.93334e-310
0.4	2	10.2344	0.0324152	0.58	0.00408163	6.93334e-310	6.93334e-310
0.4	3	10.2846	0.033921	0.61	0.00408163	6.93334e-310	6.93334e-310
0.4	4	10.3191	0.0335579	0.58	0.00408163	6.93334e-310	6.93334e-310
0.4	5	10.2985	0.0340201	0.66	0.00408163	6.93334e-310	6.93334e-310
0.4	6	10.3081	0.0330374	0.63	0.00408163	6.93334e-310	6.93334e-310
0.4	7	10.297	0.03294	0.67	0.00408163	6.93334e-310	6.93334e-310
0.4	8	10.2748	0.0320139	0.67	0.00408163	6.93334e-310	6.93334e-310
0.4	9	10.2755	0.0316856	0.63	0.00408163	6.93334e-310	6.93334e-310
0.4	10	10.2822	0.0318308	0.65	0.00408163	6.93334e-310	6.93334e-310
0.5	1	7.24589	0.0980362	0.55	0.00408163	6.93334e-310	6.93334e-310
0.5	2	10.2994	0.0327484	0.61	0.00408163	6.93334e-310	6.93334e-310
0.5	3	10.3302	0.0335556	0.65	0.00408163	6.93334e-310	6.93334e-310
0.5	4	10.352	0.0334524	0.67	0.00408163	6.93334e-310	6.93334e-310
0.5	5	10.326	0.0339916	0.66	0.00408163	6.93334e-310	6.93334e-310
0.5	6	10.3276	0.0333497	0.7	0.00408163	6.93334e-310	6.93334e-310
0.5	7	10.3082	0.0331784	0.71	0.00408163	6.93334e-310	6.93334e-310
0.5	8	10.2808	0.0326471	0.66	0.00408163	6.93334e-310	6.93334e-310
0.5	9	10.2838	0.0319446	0.67	0.00408163	6.93334e-310	6.93334e-310
0.5	10	10.2924	0.0319916	0.67	0.00408163	6.93334e-310	6.93334e-310
0.6	1	10.2197	0.0358593	0.6	0.00408163	6.93334e-310	6.93334e-310
0.6	2	10.3516	0.0329432	0.62	0.00408163	6.93334e-310	6.93334e-310
0.6	3	10.3621	0.0336114	0.69	0.00408163	6.93334e-310	6.93334e-310
0.6	4	10.3621	0.0334053	0.71	0.00408163	6.93334e-310	6.93334e-310
0.6	5	10.3401	0.0335815	0.71	0.00408163	6.93334e-310	6.93334e-310
0.6	6	10.336	0.032931	0.73	0.00408163	6.93334e-310	6.93334e-310
0.6	7	10.3197	0.0332198	0.71	0.00408163	6.93334e-310	6.93334e-310
0.6	8	10.3086	0.0326004	0.68	0.00408163	6.93334e-310	6.93334e-310
0.6	9	10.3114	0.0322704	0.69	0.00408163	6.93334e-310	6.93334e-310
0.6	10	10.3087	0.0322917	0.66	0.00408163	6.93334e-310	6.93334e-310
0.7	1	10.328	0.0345589	0.65	0.00408163	6.93334e-310	6.93334e-310
0.7	2	10.3894	0.0340734	0.69	0.00408163	6.93334e-310	6.93334e-310
0.7	3	10.4105	0.0338719	0.74	0.00408163	6.93334e-310	6.93334e-310
0.7	4	10.3996	0.0335823	0.72	0.00408163	6.93334e-310	6.93334e-310
0.7	5	10.3845	0.0337072	0.72	0.00408163	6.93334e-310	6.93334e-310
0.7	6	10.3489	0.0331788	0.74	0.00408163	6.93334e-310	6.93334e-310
0.7	7	10.3375	0.0332837	0.72	0.00408163	6.93334e-310	6.93334e-310
0.7	8	10.3188	0.0323052	0.71	0.00408163	6.93334e-310	6.93334e-310
0.7	9	10.3277	0.0325471	0.69	0.00408163	6.93334e-310	6.93334e-310
0.7	10	10.3306	0.0326599	0.66	0.00408163	6.93334e-310	6.93334e-310
0.8	1	10.373	0.0345671	0.69	0.00408163	6.93334e-310	6.93334e-310
0.8	2	10.4158	0.0346447	0.76	0.00408163	6.93334e-310	6.93334e-310
0.8	3	10.4088	0.033928	0.73	0.00408163	6.93334e-310	6.93334e-310
0.8	4	10.3961	0.0339025	0.79	0.00408163	6.93334e-310	6.93334e-310
0.8	5	10.3726	0.0333726	0.78	0.00408163	6.93334e-310	6.93334e-310
0.8	6	10.3581	0.0331558	0.79	0.00408163	6.93334e-310	6.93334e-310
0.8	7	10.3395	0.0330368	0.75	0.00408163	6.93334e-310	6.93334e-310
0.8	8	10.3333	0.0326932	0.71	0.00408163	6.93334e-310	6.93334e-310
0.8	9	10.3354	0.0325223	0.72	0.00408163	6.93334e-310	6.93334e-310
0.8	10	10.3339	0.0328581	0.68	0.00408163	6.93334e-310	6.93334e-310
0.9	1	10.4129	0.0351696	0.76	0.00408163	6.93334e-310	6.93334e-310
0.9	2	10.4294	0.034985	0.81	0.00408163	6.93334e-310	6.93334e-310
0.9	3	10.4129	0.0342008	0.83	0.00408163	6.93334e-310	6.93334e-310
0.9	4	10.4104	0.0340377	0.84	0.00408163	6.93334e-310	6.93334e-310
0.9	5	10.3861	0.0337757	0.79	0.00408163	6.93334e-310	6.93334e-310
0.9	6	10.3693	0.0328925	0.83	0.00408163	6.93334e-310	6.93334e-310
0.9	7	10.3465	0.0325057	0.77	0.00408163	6.93334e-310	6.93334e-310
0.9	8	10.3401	0.0327577	0.71	0.00408163	6.93334e-310	6.93334e-310
0.9	9	10.3452	0.0327898	0.73	0.00408163	6.93334e-310	6.93334e-310
0.9	10	10.3381	0.0328343	0.69	0.00408163	6.93334e-310	6.93334e-310
