Frac	Delay	Mean	Mean_sigma	FWHM	FWHM_sigma	Kurtosis	Kurtosis_sigma
0.25	2	159919	52.1543	12780	1747.02	60.914	0.0314451
0.25	2.5	159984	50.2885	13932	968.884	61.0631	0.0314457
0.25	3	160022	50.4305	12996	1646.19	61.4916	0.0314451
0.25	3.5	160056	50.1946	13356	1519.55	61.1849	0.0314464
0.25	4	160062	50.4687	12924	1697.86	60.9862	0.0314451
0.25	4.5	160083	49.7248	12708	1370.68	55.1894	0.0314464
0.25	5	160081	49.8242	13968	1301.65	55.0664	0.0314457
0.25	5.5	160080	49.7373	12708	1551.62	55.1971	0.0314464
0.25	6	160059	50.516	11952	1564.79	61.4423	0.0314451
0.25	6.5	160058	50.0106	13140	1750.48	56.8468	0.0314464
0.25	7	160042	50.4126	12456	1696.21	61.3823	0.0314457
0.5	2	160147	49.6105	13212	1455.66	52.539	0.0314451
0.5	2.5	160159	49.7565	12600	1658.87	62.9407	0.0314464
0.5	3	160159	49.524	12600	1301.65	54.4625	0.0314444
0.5	3.5	160160	49.0971	12780	1519.55	52.8654	0.0314464
0.5	4	160161	49.5054	14904	1064.69	54.1953	0.0314444
0.5	4.5	160181	49.2637	13680	1381.51	53.567	0.031447
0.5	5	160188	50.0497	14184	1367.68	62.8474	0.0314444
0.5	5.5	160181	49.5704	12816	1441.2	60.7022	0.031447
0.5	6	160171	50.0419	12996	1396.91	56.9866	0.0314451
0.5	6.5	160165	50.3374	12708	1314.7	66.6441	0.0314457
0.5	7	160166	51.1982	14040	1205.51	75.0259	0.0314444
0.75	2	160221	49.4873	12492	1718.1	49.099	0.0314438
0.75	2.5	160214	49.2548	12312	1384.32	47.21	0.0314438
0.75	3	160215	49.2593	13248	1533	47.2614	0.0314431
0.75	3.5	160216	49.1851	13212	1749.49	47.5731	0.0314438
0.75	4	160201	49.1673	13896	1587.27	46.9373	0.0314431
0.75	4.5	160214	49.2012	14076	1355.47	47.4326	0.0314438
0.75	5	160217	49.648	12024	947.924	48.4809	0.0314431
0.75	5.5	160214	49.5227	13824	740.119	51.8531	0.0314444
0.75	6	160209	49.9158	11484	1075.39	55.6181	0.0314431
0.75	6.5	160191	49.3067	12168	1822.42	47.7141	0.0314431
0.75	7	160204	50.3926	13572	1663.94	67.8837	0.0314431
