0	68.2	0.5	3.41
10	72.3	0.5	3.615
20	81.8	0.5	4.09
30	88.5	0.5	4.425
40	96	0.5	4.8
50	103	0.5	5.15
60	110	0.5	5.5
70	117	0.5	5.85
80	123	0.5	6.15
90	128	0.5	6.4
100	134	0.5	6.7
110	140	0.5	7
120	145	0.5	7.25
130	150	0.5	7.5
140	156	0.5	7.8
150	163	0.5	8.15
160	168	0.5	8.4
170	174	0.5	8.7
180	179	0.5	8.95
210	193	0.5	9.65
240	208	0.5	10.4
270	222	0.5	11.1
300	236	0.5	11.8
330	249	0.5	12.45
360	262	0.5	13.1
390	276	0.5	13.8
420	289	0.5	14.45
450	302	0.5	15.1
480	314	0.5	15.7
510	328	0.5	16.4
540	340	0.5	17
570	354	0.5	17.7
600	367	0.5	18.35
