Pressione  [muBar]	Tensione [V]	Frequenza [mHz]
4.01	536	3.77
5.04	480	3.61
6.02	396	3.504
7.01	392	3.436
8	376	3.392
8.93	360	3.34
10	356	3.333
12	336	3.266
14	328	3.253
22.5	308	3.201
39.5	308	3.175
54	308	3.193
38	304	3.185
26	308	3.215
33.5	304	3.185
30	304	3.215
44	304	3.16
52.5	308	3.193
61.5	308	3.181
67	304	3.181
72	308	3.185
78	308	3.195
88.5	312	3.199
92.5	312	3.211
100	308	3.195
145	320	3.226
110	316	3.22
130	316	3.205
150	320	3.22
180	324	3.245
220	332	2.264
285	344	3.279
335	352	3.279
380	360	3.316
430	376	3.344
500	384	3.376
