File	Is [mA]	err	R [1]	err	Te [eV]	err	Vf [V]	err	n	Vp
dx1	0.0284356	0.00455004	-0.13535	0.0257842	0.664199	0.0416124	-2.01683	0.136371	9.37E+15	1.42524
dx2	0.0329304	0.00362868	-0.149178	0.0202951	0.619492	0.0282985	-1.86879	0.0811701	1.12E+16	1.3416
dx3	0.0856509	0.00838905	-0.128761	0.0177502	0.727488	0.0322573	-1.97037	0.0843966	2.70E+16	1.79968
dx4	0.119087	0.009001	-0.132532	0.014806	0.738858	0.0267955	-1.81192	0.0524572	3.72E+16	2.01706
dx5	0.13595	0.0075362	-0.15815	0.0126435	0.69059	0.0216807	-1.68926	0.0370227	4.39E+16	1.88958
dx6	0.171851	0.00962303	-0.145059	0.012257	0.671489	0.0180762	-1.39606	0.0348975	5.63E+16	2.0838
dx7	0.203517	0.0111306	-0.116777	0.0101197	0.854108	0.0234639	-2.46673	0.0427278	5.91E+16	1.95951
dx8	0.0206022	0.00231253	-0.365245	0.0464528	0.283416	0.0181264	-0.602334	0.0512566	1.04E+16	0.866413
dx9	0.000946063	6.26E-05	-0.00123924	0.0135766	2.95804	0.149832	-19.0407	0.314724	1.48E+14	-3.71119
dx10	0.0941609	0.00882456	-0.117878	0.0197353	0.507244	0.0118651	-1.53028	0.0372641	3.55E+16	1.09841
sx2	0.0167988	0.0017706	-0.217201	0.0294552	0.745883	0.081777	-2.06446	0.137391	5.22E+15	1.80092
sx3	0.0232984	0.00170109	-0.219777	0.0215554	0.535847	0.0258241	-1.63793	0.0478657	8.55E+15	1.13899
sx4	0.0229465	0.00189871	-0.226913	0.0241051	0.505854	0.0252651	-1.5815	0.0462746	8.66E+15	1.03999
sx5	0.0271276	0.00226006	-0.243331	0.0259089	0.476674	0.0262338	-1.44793	0.0446213	1.05E+16	1.02233
sx6	0.0320556	0.00184958	-0.223816	0.0170069	0.530029	0.0192558	-1.61754	0.032265	1.18E+16	1.12923
sx7	0.0427165	0.00264239	-0.171985	0.0156466	0.735678	0.0314497	-2.5783	0.0471754	1.34E+16	1.2342
sx8	0.00781499	0.000217788	-0.560047	0.0130196	0.248773	0.00681113	-0.717327	0.0286781	4.21E+15	0.571891
sx9	0.0182016	0.00215697	-0.109382	0.0165035	1.07412	0.0965557	-3.43246	0.243518	4.72E+15	2.13392
sx10	0.0839545	0.00635473	-0.00855793	0.00255048	13.0051	0.90116	-2.46296	0.199326	6.25E+15	64.9333
