File	Is [mA]	err	R [1]	err	Te [eV]	err	Vf [V]	err	cs	err	n	err	Vp	err
dx1	0.0300471	0.00478509	-0.128137	0.0254909	0.747576	0.0549827	-2.36185	0.166969	1343.74	49.4145	9.30E+15	1.55E+15	1.5098	0.293396
dx2	0.0370189	0.00411209	-0.137422	0.0206505	0.773469	0.0508898	-2.47293	0.13381	1366.81	44.9641	1.13E+16	1.36E+15	1.53282	0.269052
dx3	0.0855165	0.0096039	-0.12279	0.0190222	0.715389	0.030801	-1.88368	0.0789824	1314.49	28.2976	2.71E+16	3.22E+15	1.82128	0.164935
dx4	0.11894	0.00884559	-0.131073	0.0142653	0.739572	0.0257241	-1.80989	0.0506604	1336.52	23.2438	3.70E+16	3.09E+15	2.02031	0.136133
dx5	0.14178	0.0101719	-0.141715	0.0147238	0.672827	0.0218621	-1.51286	0.040367	1274.79	20.7108	4.63E+16	3.74E+15	1.97167	0.116324
dx6	0.17153	0.0105023	-0.145754	0.0133102	0.671283	0.0195646	-1.3991	0.0334119	1273.32	18.5556	5.61E+16	3.99E+15	2.07744	0.1041
dx7	0.203434	0.0162124	-0.110761	0.0134681	0.828968	0.0285321	-2.32475	0.053911	1415	24.3513	5.98E+16	5.27E+15	1.96843	0.149575
dx8	0.0142839	0.00105769	-0.553381	0.0288672	0.209318	0.0113901	-0.389584	0.0546895	711.032	19.3455	8.36E+15	7.16E+14	0.69446	0.152269
dx9	0.0615997	0.00542438	-0.014594	0.00614146	4.90517	0.271436	-12.1627	0.180243	3442.02	95.235	7.45E+15	7.31E+14	13.2409	1.40583
dx10	0.0971553	0.00960503	-0.11342	0.020843	0.524358	0.0138586	-1.57227	0.0402899	1125.38	14.8718	3.59E+16	3.78E+15	1.14334	0.0762101
sx2	0.0156492	0.00125552	-0.23735	0.0228369	0.682478	0.0594288	-1.96132	0.108232	1283.9	55.8997	5.07E+15	4.93E+14	1.57319	0.312686
sx3	0.0225764	0.00150271	-0.230891	0.0194658	0.532099	0.0245649	-1.66938	0.0436705	1133.66	26.1683	8.29E+15	6.46E+14	1.08633	0.129882
sx4	0.0217717	0.002029	-0.241847	0.0279866	0.49402	0.0327848	-1.59223	0.0586566	1092.34	36.2457	8.29E+15	8.66E+14	0.966268	0.173741
sx5	0.0272146	0.00207621	-0.242154	0.0232495	0.477509	0.024679	-1.44757	0.0440995	1073.93	27.752	1.05E+16	9.19E+14	1.02542	0.131392
sx6	0.0327924	0.00177888	-0.217749	0.0156478	0.53015	0.0175954	-1.588	0.0299979	1131.58	18.7783	1.21E+16	7.93E+14	1.15762	0.0930629
sx7	0.0414207	0.00341474	-0.167282	0.0194141	0.619167	0.0267935	-2.10402	0.045535	1222.9	26.4595	1.41E+16	1.29E+15	1.10261	0.140439
sx8	0.00600218	0.00040944	-0.745035	0.0523747	0.188104	0.0135519	-0.553983	0.0424005	674.039	24.2804	3.71E+15	3.11E+14	0.420197	0.103845
sx9	0.0176764	0.00218485	-0.107319	0.0167908	1.07518	0.0965906	-3.45667	0.245651	1611.49	72.3852	4.56E+15	6.19E+14	2.11164	0.505259
sx10	0.0260819	0.00468692	-0.0167412	0.00438431	4.9749	0.355351	5.01588	0.87012	3466.4	123.8	3.13E+15	5.83E+14	30.7806	1.8485
